id,device_id,temperature,gas,severity,risk_score,allocation,fog_latency,cloud_latency,bandwidth_bytes,sla_violation,timestamp
1,esp1,30.0,201,NORMAL,0.358,CLOUD_EXECUTION,6.7807279992848635,829.4100761413574,75,0,1771970850.7521293
2,esp2,29.0,662,WARNING,0.62,FOG_AND_CLOUD,23.798907999662333,811.8348121643066,75,0,1771970850.8184223
3,esp3,41.0,534,WARNING,0.641,FOG_AND_CLOUD,7.157137999456609,813.1821155548096,75,0,1771970850.82838
4,esp4,32.0,466,NORMAL,0.529,CLOUD_EXECUTION,6.391024000549805,1585.1831436157227,75,1,1771970850.8383157
5,esp5,37.0,622,WARNING,0.661,FOG_AND_CLOUD,7.3503650000930065,1584.5248699188232,75,1,1771970850.8483999
6,esp6,28.0,328,NORMAL,0.416,CLOUD_EXECUTION,9.126068000114174,1583.1365585327148,75,1,1771970850.8601406
7,esp7,43.0,512,WARNING,0.644,FOG_AND_CLOUD,6.370886998411152,2356.7514419555664,75,1,1771970850.8691926
8,esp8,44.0,280,NORMAL,0.516,CLOUD_EXECUTION,6.395008998879348,2361.2208366394043,75,1,1771970850.8781435
9,esp9,44.0,710,CRITICAL,0.768,FOG_EXECUTION,6.413408000298659,,0,0,1771970850.8870838
10,esp10,29.0,540,WARNING,0.549,FOG_AND_CLOUD,6.631648999245954,2352.787494659424,76,1,1771970850.8970273
11,esp11,29.0,755,WARNING,0.675,FOG_AND_CLOUD,6.351703999825986,3121.724843978882,76,1,1771970850.9062405
12,esp12,25.0,642,WARNING,0.577,FOG_AND_CLOUD,6.341137999697821,3123.8088607788086,76,1,1771970850.9151375
13,esp13,45.0,771,CRITICAL,0.812,FOG_EXECUTION,6.1985029988136375,,0,0,1771970850.9238222
14,esp14,43.0,587,WARNING,0.688,FOG_AND_CLOUD,6.308302999968873,3114.6256923675537,76,1,1771970850.9331307
15,esp15,41.0,639,CRITICAL,0.703,FOG_EXECUTION,6.202502001542598,,0,0,1771970850.9420514
16,esp16,30.0,760,WARNING,0.686,FOG_AND_CLOUD,9.527377998892916,3878.042697906494,76,1,1771970850.953849
17,esp17,30.0,478,NORMAL,0.52,CLOUD_EXECUTION,6.205724001119961,3878.7293434143066,76,1,1771970850.9629314
18,esp18,41.0,370,NORMAL,0.545,CLOUD_EXECUTION,7.306486999368644,3873.3668327331543,76,1,1771970850.9728258
